property,ID,property_id,active_property,room_type,hotel_name,link,room_id,lastcheck
,4250,662,Clarion Hotel,QQ Room ,Clarion Hotel QQ Inside Rm,,,TRUE
12,9954,634,Classic Motor Inn,King Room,Classic Motor Inn King(Only 6rms),https://www.expedia.com/Branson-Hotels-Classic-Motor-Inn.h1161155.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=classic&&exp_dp=54.99&exp_ts=1522851351959&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200679493,
,4130,634,Classic Motor Inn,QQ,Classic Motor Inn QQ,,200679473,TRUE
13,7017,655,Comfort Inn & Suites,QQ Room ,Comfort Inn & Suites QQ ,https://www.expedia.com/Branson-Hotels-Comfort-Inn-Suites.h807270.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=comfort&&exp_dp=98.99&exp_ts=1522851368976&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,85893,TRUE
14,7015,654,Comfort Inn Thousand Hills,QQ Dlx Room,Comfort Inn Thousand Hills QQ Dlx,https://www.expedia.com/Branson-Hotels-Comfort-Inn-At-Thousand-Hills.h8974.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=comfort&&exp_dp=109.99&exp_ts=1522851368975&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200103897,TRUE
16,9885,647,Days Inn Shepherd of the Hills,King Jac,Days Inn SOH Jacuzzi,https://www.expedia.com/Branson-Hotels-Days-Inn-Branson-Near-The-Strip.h42183.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=days+inn&&exp_dp=48.95&exp_ts=1522851416639&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200248623,
,9897,647,Days Inn Shepherd of the Hills,King Room,Days Inn SOH King Handi,,200248595,
,9882,647,Days Inn Shepherd of the Hills,QQ Room,Days Inn SOH QQ,,200248588,
,9884,647,Days Inn Shepherd of the Hills,QQ Room,Days Inn SOH QQ Handi,,200248611,TRUE
17,4347,706,Dutton Inn,QQ ,Dutton Inn QQ,https://www.expedia.com/Branson-Hotels-Dutton-Inn.h6248947.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=dutton&&exp_dp=50.96&exp_ts=1522851438222&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200312102,TRUE
18,10001,837,Fall Creek Inn & Suites,King Suite,Fall Creek Inn King Suite (Family),https://www.expedia.com/Branson-Hotels-Fall-Creek-Inn-Suites.h1142554.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=fall+creek&&exp_dp=45.46&exp_ts=1522851452940&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,101039,
,9880,837,Fall Creek Inn & Suites,Master Suite,Fall Creek Inn Master Suite Kitchenette,,,
,7619,837,Fall Creek Inn & Suites,Queen Jac,Fall Creek Inn Q Jacuzzi ,,460999,
,7142,837,Fall Creek Inn & Suites,QQ Dlx Room,Fall Creek Inn QQ Dlx,,201473962,
,7618,837,Fall Creek Inn & Suites,QQ Luxury,Fall Creek Inn QQ Lux,,201113961,
,4360,837,Fall Creek Inn & Suites,QQ ,Fall Creek Inn Std. QQ (3rd Flr),,103061,TRUE
19,9793,847,Gazebo Inn,Hnymn Ste,Gazebo Honeymoon Suite w/ Whirlpool Tub,https://www.expedia.com/Branson-Hotels-Gazebo-Inn.h1148267.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=Gazebo+Inn&&exp_dp=54.4&exp_ts=1522851492598&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,50013,
,4343,847,Gazebo Inn,Fam Suite,Gazebo Inn Family Suite,,,
,4338,847,Gazebo Inn,King Room,Gazebo Inn King Room,,50007,
,4341,847,Gazebo Inn,X LgJac,Gazebo Inn Q room Jacuzzi,,,
,4337,847,Gazebo Inn,QQ ,Gazebo Inn QQ Room,,42704,TRUE
20,4488,864,Grand Country Inn,QQ Room ,Grand Ctry Bldg 2 or 3 QQ,https://www.expedia.com/Branson-Hotels-Grand-Country-Waterpark-Resort.h4367719.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=grand+country&&exp_dp=100.46&exp_ts=1522851538381&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200068064,TRUE
21,4148,711,Grand Plaza Hotel,Fam Unit,Grand Plaza Family Unit,https://www.expedia.com/Branson-Hotels-Grand-Plaza-Hotel-Branson.h27716.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&hwrqCacheKey=2138b0df-e1a9-4e9c-afef-ee012fbd5bc6HWRQ1522851665215&vip=false&hotelname=grand+plaza&&exp_dp=79&exp_ts=1522851559510&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,201419230,
,4149,711,Grand Plaza Hotel,Hnymn Ste,Grand Plaza Honeymoon Suite,,,
,4147,711,Grand Plaza Hotel,King Feature,Grand Plaza King Feature Jac,,177666,
,4146,711,Grand Plaza Hotel,King Mini Ste,Grand Plaza King Mini Suite No Jac,,177669,
,4150,711,Grand Plaza Hotel,QQ Room ,Grand Plaza QQ,,177659,TRUE
22,9909,2873,Grand View Inn and Suites,King Room,Grand View Inn & Suites King,https://www.expedia.com/Branson-Hotels-Grand-View-Inn-And-Suites.h425172.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=grand+view&&exp_dp=63.33&exp_ts=1522851580690&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200309970,
,9908,2873,Grand View Inn and Suites,QQ Room,Grand View Inn & Suites QQ,,200624192,TRUE
23,9959,709,Hampton by Hilton on the Strip,QQ Room ,Hampton by Hilton 76 QQ,https://www.expedia.com/Branson-Hotels-Hampton-Inn-By-Hilton-Branson-On-The-Strip.h14924.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=hampton&&exp_dp=109&exp_ts=1522851663939&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,416004,TRUE
24,7291,884,Hampton Inn Branson Hills,King Room,Hampton Inn Branson Hills King,https://www.expedia.com/Branson-Hotels-Hampton-Inn-Branson-Branson-Hills.h2602840.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=hampton&&exp_dp=99&exp_ts=1522851663939&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,201129586,
,7290,884,Hampton Inn Branson Hills,QQ Room ,Hampton Inn Branson Hills QQ,,201129591,TRUE
25,7550,850,Hilton Convention Center Hotel,King Dlx,Hilton CV K Dlx w/Sofabed,https://www.expedia.com/Branson-Hotels-Hilton-Branson-Convention-Center.h1717387.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=hilton&&exp_dp=146.88&exp_ts=1522851694209&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,195738,
,9980,850,Hilton Convention Center Hotel,King Condo,Hilton CV King Condo,,194129,
,7551,850,Hilton Convention Center Hotel,QQ Dlx,Hilton CV QQ Dlx,,201123648,TRUE
26,9907,849,Hilton Promenade Hotel,King Condo,Hilton PR K 1Bdrm Condo,https://www.expedia.com/Branson-Hotels-Hilton-Promenade-At-Branson-Landing.h1497923.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=hilton&&exp_dp=146.88&exp_ts=1522851694208&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,200266495,
,7548,849,Hilton Promenade Hotel,King Dlx,Hilton PR King Dlx,,229439,
,9981,849,Hilton Promenade Hotel,QQ Dlx,Hilton PR QQ Dlx Room,,201120913,
,10165,849,Hilton Promenade Hotel,QQ Dlx,Hilton PR QQ Superior (w/Balcony),,169205,TRUE
27,7547,967,Holiday Inn Express Green Mountain,QQ,Holiday Inn Expr Grn Mt Dr QQ,https://www.expedia.com/Branson-Hotels-Holiday-Inn-Express-Branson-Green-Mountain-Drive.h2902.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=holiday+inn&&exp_dp=109.99&exp_ts=1522851745026&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,246786,TRUE
28,7102,762,Honeysuckle Inn and Conference Center,Comfort King,Honeysuckle Comfort King,https://www.expedia.com/Branson-Hotels-Honeysuckle-Inn-Conference-Center.h41028.Hotel-Information?rm1=a1&regionId=6058734&sort=recommended&vip=false&hotelname=honeysuckle&&exp_dp=59.38&exp_ts=1522851763582&exp_curr=USD&swpToggleOn=false&exp_pg=HSR,158312,
,10168,762,Honeysuckle Inn and Conference Center,King Combo,Honeysuckle Comfort King Combo,,201481576,
,10167,762,Honeysuckle Inn and Conference Center,King Combo,Honeysuckle King Combo,,201481573,
,7103,762,Honeysuckle Inn and Conference Center,King Room,Honeysuckle King Room,,30707,
,4624,762,Honeysuckle Inn and Conference Center,QQ ,Honeysuckle QQ,,30706,
,10166,762,Honeysuckle Inn and Conference Center,QQ Combo,Honeysuckle QQ Combo,,201481574,
,9924,762,Honeysuckle Inn and Conference Center,QQ Handicap,Honeysuckle QQ Handicap,,,
,7104,762,Honeysuckle Inn and Conference Center,Queen Jac,Honeysuckle Queen Jacuzzi,,97232,TRUE
